# id	repo	source	local
ce-brainstorm	https://github.com/EveryInc/compound-engineering-plugin.git	skills/ce-brainstorm	ce-brainstorm
ce-plan	https://github.com/EveryInc/compound-engineering-plugin.git	skills/ce-plan	ce-plan
ce-debug	https://github.com/EveryInc/compound-engineering-plugin.git	skills/ce-debug	ce-debug
autoreview	https://github.com/openclaw/agent-skills.git	skills/autoreview	autoreview
frontend-design	https://github.com/anthropics/skills.git	skills/frontend-design	frontend-design
hallmark	https://github.com/nutlope/hallmark.git	skills/hallmark	hallmark
git-commit	https://github.com/github/awesome-copilot.git	skills/git-commit	git-commit
postgresql-optimization	https://github.com/github/awesome-copilot.git	skills/postgresql-optimization	postgresql-optimization
refactor	https://github.com/github/awesome-copilot.git	skills/refactor	refactor
swiftui-liquid-glass	https://github.com/Dimillian/Skills.git	swiftui-liquid-glass	swiftui-liquid-glass
swiftui-ui-patterns	https://github.com/Dimillian/Skills.git	swiftui-ui-patterns	swiftui-ui-patterns
expo-upgrade	https://github.com/expo/skills.git	plugins/expo/skills/expo-upgrade	expo-upgrade
x-longform-post	https://github.com/ericosiu/ai-marketing-skills.git	x-longform-post	x-longform-post
